"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich","symbol"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/440","89/8779",0.000453845346859655,0.00278226930031353,0.00208748088601351,"960/8516/7450/3694/2335/7143/7057/22801/1293/3673/256076/7058/131873",13,2.91437691521961,"CD44/ITGA8/VWF/ITGB6/FN1/TNR/THBS1/ITGA11/COL6A3/ITGA2/COL6A5/THBS2/COL6A6"
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","17/440","138/8779",0.000513736928581943,0.00308242157149166,0.00231267911858837,"355/2213/3560/3718/6504/356/7128/3559/7099/7097/3561/917/915/940/51284/54106/9641",17,2.45788866930171,"FAS/FCGR2B/IL2RB/JAK3/SLAMF1/FASLG/TNFAIP3/IL2RA/TLR4/TLR2/IL2RG/CD3G/CD3D/CD28/TLR7/TLR9/IKBKE"
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","15/440","115/8779",0.000591075754229575,0.00347257005609875,0.00260539970614352,"3683/7294/3383/3702/4688/7409/653361/3689/7412/9076/1536/9075/399/3684/5336",15,2.60247035573123,"ITGAL/TXK/ICAM1/ITK/NCF2/VAV1/NCF1/ITGB2/VCAM1/CLDN1/CYBB/CLDN2/RHOH/ITGAM/PLCG2"
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","15/440","121/8779",0.0010115919394007,0.00582181483491833,0.00436799097356694,"920/3937/5788/9402/959/1326/3458/3702/7409/917/1493/29851/915/940/919",15,2.47342223891811,"CD4/LCP2/PTPRC/GRAP2/CD40LG/MAP3K8/IFNG/ITK/VAV1/CD3G/CTLA4/ICOS/CD3D/CD28/CD247"
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","13/440","97/8779",0.00104540407132228,0.00589607896225764,0.00442370985970058,"2213/5337/5788/8605/5321/7409/2212/2209/653361/3635/5336/2214/4067",13,2.67401593252109,"FCGR2B/PLD1/PTPRC/PLA2G4C/PLA2G4A/VAV1/FCGR2A/FCGR1A/NCF1/INPP5D/PLCG2/FCGR3A/LYN"
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","21/440","203/8779",0.00125098152686161,0.00691719197205832,0.00518983048295529,"1634/355/960/858/7472/7474/2335/356/5328/3709/3791/1514/80326/7099/7097/7057/4060/7409/3673/3059/5336",21,2.06402821316614,"DCN/FAS/CD44/CAV2/WNT2/WNT5A/FN1/FASLG/PLAU/ITPR2/KDR/CTSL/WNT10A/TLR4/TLR2/THBS1/LUM/VAV1/ITGA2/HCLS1/PLCG2"
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","10/440","68/8779",0.00192233938864452,0.0104249943768799,0.00782166431412042,"695/3937/8605/5321/241/7409/2207/3635/5336/4067",10,2.9341577540107,"BTK/LCP2/PLA2G4C/PLA2G4A/ALOX5AP/VAV1/FCER1G/INPP5D/PLCG2/LYN"
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","15/440","132/8779",0.00244036301708672,0.0129845730343105,0.00974206487456664,"6556/27074/54/1512/50617/1075/1509/10577/968/9476/1514/7805/1520/1510/1519",15,2.26730371900826,"SLC11A1/LAMP3/ACP5/CTSH/ATP6V0A4/CTSC/CTSD/NPC2/CD68/NAPSA/CTSL/LAPTM5/CTSS/CTSE/CTSO"
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","17/440","159/8779",0.00250070455891859,0.0130592349187971,0.00979808218991495,"330/355/8605/3718/3458/5321/356/7128/8743/7099/90865/834/6775/114548/7098/1536/197259",17,2.13326186392224,"BIRC3/FAS/PLA2G4C/JAK3/IFNG/PLA2G4A/FASLG/TNFAIP3/TNFSF10/TLR4/IL33/CASP1/STAT4/NLRP3/TLR3/CYBB/MLKL"
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","11/440","83/8779",0.00272805616207979,0.0139874879583,0.0104945318388141,"4210/90865/834/3606/114548/3428/9447/197259/3627/9641/6351",11,2.64427710843374,"MEFV/IL33/CASP1/IL18/NLRP3/IFI16/AIM2/MLKL/CXCL10/IKBKE/CCL4"
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","15/440","135/8779",0.00303862160828209,0.0153016302417063,0.011480506452344,"843/330/355/1439/3002/1512/1075/356/1509/8743/3709/1514/597/1520/1519",15,2.21691919191919,"CASP10/BIRC3/FAS/CSF2RB/GZMB/CTSH/CTSC/FASLG/CTSD/TNFSF10/ITPR2/CTSL/BCL2A1/CTSS/CTSO"
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","7/440","42/8779",0.00444776988403433,0.0220047562683804,0.016509727547385,"4129/8942/7166/3620/1545/169355/4128",7,3.32537878787879,"MAOB/KYNU/TPH1/IDO1/CYP1B1/IDO2/MAOA"
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","11/440","89/8779",0.00471821334838455,0.0229402786938697,0.0172116312708765,"920/3458/29126/7099/7097/10538/917/915/940/919/54106",11,2.46601123595506,"CD4/IFNG/CD274/TLR4/TLR2/BATF/CD3G/CD3D/CD28/CD247/TLR9"
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","16/440","156/8779",0.00498844336117352,0.0238430682686599,0.0178889761926115,"6376/5743/10326/6446/84868/834/7057/9023/51454/19/1524/5734/5031/713/712/29933",16,2.04638694638695,"CX3CL1/PTGS2/SIRPB1/SGK1/HAVCR2/CASP1/THBS1/CH25H/GULP1/ABCA1/CX3CR1/PTGER4/P2RY6/C1QB/C1QA/GPR132"
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/440","56/8779",0.00638379207297525,0.0300038227429837,0.0225112667836496,"2920/7099/7097/834/3606/3689/3684/1378",8,2.85032467532468,"CXCL2/TLR4/TLR2/CASP1/IL18/ITGB2/ITGAM/CR1"
